,composition,duration,freq,list,onset,procedure,sp,stim1,stim2,subject,trial,testtype,epiname,reduce_wm,stim1.semB,stim1.semA,list.semB,list.semA,stim2.semB,stim2.semA,epiA,epiB,retrievedName,sameNode,relatedNode,wmSpent,epiS,wmAvailable,acc_pred,acc,experiment
0,Pure HF,10000,HF,context1,10.001,study,1,everybody,position_1,0,1,,everybody.context1.position_1.,False,0.3999999999999998,1.0,1.0,1.0,0.99,1.0,0.0,0.0,everybody.context1.position_1.,True,True,1.107077669918993,0.7344920078415011,3.6137890624999995,0.07195740569505976,,
1,Pure HF,1000,HF,context1,11.001,study,2,seriously,position_2,0,2,,seriously.context1.position_2.,False,0.3996716524518154,1.0,1.0,1.0,0.99,1.0,0.0,0.0,seriously.context1.position_2.,True,True,0.9537355084023843,0.6544530164626321,2.9438915683622566,0.07195740569505976,,
2,Pure HF,1000,HF,context1,12.001,study,3,almost,position_3,0,3,,almost.context1.position_3.,False,0.3999999991919829,1.0,1.0,1.0,0.99,1.0,0.0,0.0,almost.context1.position_3.,True,True,0.8346933862348067,0.5854557896269243,2.4273362357411226,0.07195740569505976,,
3,Pure HF,1000,HF,context1,13.001,study,4,press,position_4,0,4,,press.context1.position_4.,False,0.3995140660809951,1.0,1.0,1.0,0.99,1.0,0.0,0.0,press.context1.position_4.,True,True,0.7440241569275021,0.5260432190294559,2.0298230252875658,0.07195740569505976,,
4,Pure HF,1000,HF,context1,14.001,study,5,likes,position_5,0,5,,likes.context1.position_5.,False,0.3999023809512953,1.0,1.0,1.0,0.99,1.0,0.0,0.0,likes.context1.position_5.,True,True,0.6731015078872484,0.47533985438857684,1.7229790441413138,0.07195740569505976,,
5,Pure HF,1000,HF,context1,15.001,study,6,unless,position_6,0,6,,unless.context1.position_6.,False,0.3999976904039352,1.0,1.0,1.0,0.99,1.0,0.0,0.0,unless.context1.position_6.,True,True,0.6188280646982285,0.43226713024254104,1.4870577120353152,0.07195740569505976,,
6,Pure HF,500,HF,context1,15.501,test,1,nan,position_1,0,7,,nan.context1.position_1.,False,0.99,0.99,1.0,1.0,0.9954196620568273,1.0,1.2658514716620957,0.5243999846538374,everybody.context1.position_1.,False,True,0.19248570173120916,0.0,1.0868197352277118,0.9183583541065459,0.92,1.0
7,Pure HF,500,HF,context1,16.001,test,2,nan,position_2,0,8,,nan.context1.position_2.,False,0.99,0.99,1.0,1.0,0.9948993331841165,1.0,0.9730804574358883,0.47403591692265923,seriously.context1.position_2.,False,True,0.1971108469209469,0.0,1.1129241213871284,0.7684302700055037,0.81,1.0
8,Pure HF,500,HF,context1,16.501,test,3,nan,position_3,0,9,,nan.context1.position_3.,False,0.99,0.99,1.0,1.0,0.9944518278055613,1.0,0.8098316389975557,0.4307535060720059,almost.context1.position_3.,False,True,0.2009163353180452,0.0,1.1344033623568064,0.6426062464482211,0.69,1.0
9,Pure HF,500,HF,context1,17.001,test,4,nan,position_4,0,10,,nan.context1.position_4.,False,0.99,0.99,1.0,1.0,0.9940694931891026,1.0,0.6954417386705498,0.39373754212016354,press.context1.position_4.,False,True,0.20404726142083998,0.0,1.1520771149293862,0.5427624578057201,0.56,1.0
10,Pure HF,500,HF,context1,17.501,test,5,nan,position_5,0,11,,nan.context1.position_5.,False,0.99,0.99,1.0,1.0,0.9937474886414345,1.0,0.6097102545672057,0.36259847758416325,likes.context1.position_5.,False,True,0.20662306976047087,0.0,1.1666199413991714,0.4657349755742091,0.45,1.0
11,Pure HF,500,HF,context1,18.001,test,6,nan,position_6,0,12,,nan.context1.position_6.,False,0.99,0.99,1.0,1.0,0.9934808961362733,1.0,0.5448626819639647,0.33680723683648,unless.context1.position_6.,False,True,0.20874210232470417,0.0,1.1785869595293255,0.408161317776225,0.67,1.0
12,Pure LF,10000,LF,context2,28.001,study,1,seductress,position_1,0,1,,seductress.context2.position_1.,False,0.2019900332501664,1.0,1.0,1.0,0.99,1.0,0.0,0.0,seductress.context2.position_1.,True,True,1.4404397057479388,0.6839111410917555,3.6137890624999995,0.07195740569505976,,
13,Pure LF,1000,LF,context2,29.001,study,2,packed,position_2,0,2,,packed.context2.position_2.,False,0.36603544888170825,1.0,1.0,1.0,0.99,1.0,0.0,0.0,packed.context2.position_2.,True,True,0.9225292765039133,0.602727713954726,2.610529532533311,0.07195740569505976,,
14,Pure LF,1000,LF,context2,30.001,study,3,ascetics,position_3,0,3,,ascetics.context2.position_3.,False,0.2007984021312017,1.0,1.0,1.0,0.99,1.0,0.0,0.0,ascetics.context2.position_3.,True,True,1.0404346552710038,0.483168809474516,2.1251804318106475,0.07195740569505976,,
15,Pure LF,1000,LF,context2,31.001,study,4,missionary,position_4,0,4,,missionary.context2.position_4.,False,0.23853032299546373,1.0,1.0,1.0,0.99,1.0,0.0,0.0,missionary.context2.position_4.,True,True,0.8263762106402788,0.38690024427665437,1.5219259523208937,0.07195740569505976,,
16,Pure LF,1000,LF,context2,32.001,study,5,walleyed,position_5,0,5,,walleyed.context2.position_5.,False,0.20356779352833987,1.0,1.0,1.0,0.99,1.0,0.0,0.0,walleyed.context2.position_5.,True,True,0.7687301741620539,0.2798887520816174,1.1327299174618632,0.07195740569505976,,
17,Pure LF,1000,LF,context2,33.001,study,6,taxidermist,position_6,0,6,,taxidermist.context2.position_6.,False,0.20317453598894297,1.0,1.0,1.0,0.99,1.0,0.0,0.0,taxidermist.context2.position_6.,True,True,0.6798322258256558,0.16160346545473547,0.8011799190810593,0.07195740569505976,,
18,Pure LF,500,LF,context2,33.501,test,1,nan,position_1,0,7,,nan.context2.position_1.,False,0.99,0.99,1.0,1.0,0.9951839888210698,1.0,1.1786784814463513,0.48828712642779093,seductress.context2.position_1.,False,True,0.060212052909804734,0.0,0.3399377811460285,0.8844384269945607,0.83,1.0
19,Pure LF,500,LF,context2,34.001,test,2,nan,position_2,0,8,,nan.context2.position_2.,False,0.99,0.99,1.0,1.0,0.9945299340700595,1.0,0.8961721389480989,0.43657004758498286,packed.context2.position_2.,False,True,0.0882634737884543,0.0,0.4983158161268488,0.712328138522184,0.65,1.0
20,Pure LF,500,LF,context2,34.501,test,3,nan,position_3,0,9,,nan.context2.position_3.,False,0.99,0.99,1.0,1.0,0.9937748952465773,1.0,0.6683431880289165,0.35549509013893504,ascetics.context2.position_3.,False,True,0.1113475013521626,0.0,0.6286424302290194,0.5184514191973038,0.48,1.0
21,Pure LF,500,LF,context2,35.001,test,4,nan,position_4,0,10,,nan.context2.position_4.,False,0.99,0.99,1.0,1.0,0.9930571525195712,1.0,0.5114913924149463,0.2895905616048833,missionary.context2.position_4.,False,True,0.1303429844405065,0.0,0.7358850167674817,0.37921027640749705,0.35,1.0
22,Pure LF,500,LF,context2,35.501,test,5,nan,position_5,0,11,,nan.context2.position_5.,False,0.99,0.99,1.0,1.0,0.9922661411621159,1.0,0.3590084877307135,0.2135045787992413,walleyed.context2.position_5.,False,True,0.14597440254341076,0.0,0.8241321202176002,0.25735440700080725,0.27,1.0
23,Pure LF,500,LF,context2,36.001,test,6,nan,position_6,0,12,,nan.context2.position_6.,False,0.99,0.99,1.0,1.0,0.9913365548439783,1.0,0.20369741634746347,0.1259156962327191,taxidermist.context2.position_6.,False,True,0.15883773108221586,0.0,0.8967478055648144,0.15820305912916843,0.45,1.0
24,Mixed HHHLLL,10000,HF,context3,46.001,study,1,wall,position_1,0,1,,wall.context3.position_1.,False,0.3998297832464932,1.0,1.0,1.0,0.99,1.0,0.0,0.0,wall.context3.position_1.,True,True,1.1073319217001387,0.7344547577142309,3.6137890624999995,0.07195740569505976,,
25,Mixed HHHLLL,1000,HF,context3,47.001,study,2,front,position_2,0,2,,front.context3.position_2.,False,0.3999999973913629,1.0,1.0,1.0,0.99,1.0,0.0,0.0,front.context3.position_2.,True,True,0.9532251141396713,0.6544951307042307,2.943637316581111,0.07195740569505976,,
26,Mixed HHHLLL,1000,HF,context3,48.001,study,3,sleep,position_3,0,3,,sleep.context3.position_3.,False,0.39999999997478136,1.0,1.0,1.0,0.99,1.0,0.0,0.0,sleep.context3.position_3.,True,True,0.8347521900832644,0.5854920593614439,2.42759237822269,0.07195740569505976,,
27,Mixed HHHLLL,1000,LF,context3,49.001,study,4,burros,position_4,0,4,,burros.context3.position_4.,False,0.21108118612669535,1.0,1.0,1.0,0.99,1.0,0.0,0.0,burros.context3.position_4.,True,True,0.9994548983296646,0.47094772103044324,2.0300203639206753,0.07195740569505976,,
28,Mixed HHHLLL,1000,LF,context3,50.001,study,5,sobering,position_5,0,5,,sobering.context3.position_5.,False,0.2072647729301893,1.0,1.0,1.0,0.99,1.0,0.0,0.0,sobering.context3.position_5.,True,True,0.854025162491521,0.3634295318975648,1.467745641372261,0.07195740569505976,,
29,Mixed HHHLLL,1000,LF,context3,51.001,study,6,cleaved,position_6,0,6,,cleaved.context3.position_6.,False,0.20119640718921294,1.0,1.0,1.0,0.99,1.0,0.0,0.0,cleaved.context3.position_6.,True,True,0.7496634777436746,0.2546180522178273,1.05090065466199,0.07195740569505976,,
30,Mixed HHHLLL,500,HF,context3,51.501,test,1,nan,position_1,0,7,,nan.context3.position_1.,False,0.99,0.99,1.0,1.0,0.9954194919122433,1.0,1.2657872733754958,0.5243733894479531,wall.context3.position_1.,False,True,0.0920699229502462,0.0,0.5198272648089404,0.9183364897529166,0.92,1.0
31,Mixed HHHLLL,500,HF,context3,52.001,test,2,nan,position_2,0,8,,nan.context3.position_2.,False,0.99,0.99,1.0,1.0,0.9948994658118419,1.0,0.9731430754458121,0.474066421271527,front.context3.position_2.,False,True,0.11447860891454961,0.0,0.6463474297493192,0.7684733220320755,0.81,1.0
32,Mixed HHHLLL,500,HF,context3,52.501,test,3,nan,position_3,0,9,,nan.context3.position_3.,False,0.99,0.99,1.0,1.0,0.9944521036015888,1.0,0.80988180910275,0.43078019180231286,sleep.context3.position_3.,False,True,0.13291826588269318,0.0,0.7504589087253946,0.6426484787023112,0.68,1.0
33,Mixed HHHLLL,500,LF,context3,53.001,test,4,nan,position_4,0,10,,nan.context3.position_4.,False,0.99,0.99,1.0,1.0,0.9937369942211254,1.0,0.6226041703200914,0.3524991701019075,burros.context3.position_4.,False,True,0.14809339837835905,0.0,0.8361307307333263,0.4773085486606689,0.45,1.0
34,Mixed HHHLLL,500,LF,context3,53.501,test,5,nan,position_5,0,11,,nan.context3.position_5.,False,0.99,0.99,1.0,1.0,0.9929408125444571,1.0,0.46616480895659096,0.2772311089813574,sobering.context3.position_5.,False,True,0.16058115758493405,0.0,0.9066274202455924,0.3409754998851414,0.34,1.0
35,Mixed HHHLLL,500,LF,context3,54.001,test,6,nan,position_6,0,12,,nan.context3.position_6.,False,0.99,0.99,1.0,1.0,0.9921065031516605,1.0,0.3209401434941515,0.19838936763027862,cleaved.context3.position_6.,False,True,0.17085707058082258,0.0,0.9646363505512834,0.23044049896141722,0.54,1.0
36,Mixed LLLHHH,10000,LF,context4,64.001,study,1,ballgame,position_1,0,1,,ballgame.context4.position_1.,False,0.21939408966622465,1.0,1.0,1.0,0.99,1.0,0.0,0.0,ballgame.context4.position_1.,True,True,1.4083519649070597,0.6889413391229678,3.6137890624999995,0.07195740569505976,,
37,Mixed LLLHHH,1000,LF,context4,65.001,study,2,thesis,position_2,0,2,,thesis.context4.position_2.,False,0.25778821835871807,1.0,1.0,1.0,0.99,1.0,0.0,0.0,thesis.context4.position_2.,True,True,1.0893586325844502,0.5781716546815276,2.64261727337419,0.07195740569505976,,
38,Mixed LLLHHH,1000,LF,context4,66.001,study,3,nursemaid,position_3,0,3,,nursemaid.context4.position_3.,False,0.21070297040930325,1.0,1.0,1.0,0.99,1.0,0.0,0.0,nursemaid.context4.position_3.,True,True,0.9894102141793495,0.46414978163292436,1.9904388165709896,0.07195740569505976,,
39,Mixed LLLHHH,1000,HF,context4,67.001,study,4,long,position_4,0,4,,long.context4.position_4.,False,0.4,1.0,1.0,1.0,0.99,1.0,0.0,0.0,long.context4.position_4.,True,True,0.6076108000701272,0.42279548599442013,1.43820877817289,0.07195740569505976,,
40,Mixed LLLHHH,1000,HF,context4,68.001,study,5,war,position_5,0,5,,war.context4.position_5.,False,0.39999999485086923,1.0,1.0,1.0,0.99,1.0,0.0,0.0,war.context4.position_5.,True,True,0.5684835663300845,0.38794038327086283,1.267778153884013,0.07195740569505976,,
41,Mixed LLLHHH,1000,HF,context4,69.001,study,6,speak,position_6,0,6,,speak.context4.position_6.,False,0.3999999985143864,1.0,1.0,1.0,0.99,1.0,0.0,0.0,speak.context4.position_6.,True,True,0.5383391020423824,0.35878539430916473,1.1364747633351784,0.07195740569505976,,
42,Mixed LLLHHH,500,LF,context4,69.501,test,1,nan,position_1,0,7,,nan.context4.position_1.,False,0.99,0.99,1.0,1.0,0.9952078560862725,1.0,1.1873477161181814,0.49187850079566925,ballgame.context4.position_1.,False,True,0.14465242362443906,0.0,0.816725749183421,0.8882029447087936,0.83,1.0
43,Mixed LLLHHH,500,LF,context4,70.001,test,2,nan,position_2,0,8,,nan.context4.position_2.,False,0.99,0.99,1.0,1.0,0.9944084378456969,1.0,0.8596606999458902,0.41878350862685365,thesis.context4.position_2.,False,True,0.15775040148656586,0.0,0.890663413449607,0.6836169817521226,0.66,1.0
44,Mixed LLLHHH,500,LF,context4,70.501,test,3,nan,position_3,0,9,,nan.context4.position_3.,False,0.99,0.99,1.0,1.0,0.9936206204034483,1.0,0.6420351204310004,0.34150169717912277,nursemaid.context4.position_3.,False,True,0.1685286957420324,0.0,0.9515030998536662,0.4947828533983472,0.52,1.0
45,Mixed LLLHHH,500,HF,context4,71.001,test,4,nan,position_4,0,10,,nan.context4.position_4.,False,0.99,0.99,1.0,1.0,0.9932705837735218,1.0,0.5589457619556453,0.31645775376038343,long.context4.position_4.,False,True,0.17739524339946589,0.0,1.0015644920022588,0.42054125961498207,0.41,1.0
46,Mixed LLLHHH,500,HF,context4,71.501,test,5,nan,position_5,0,11,,nan.context4.position_5.,False,0.99,0.99,1.0,1.0,0.9930584140135047,1.0,0.4976044563846305,0.29592846269616757,war.context4.position_5.,False,True,0.18469036850724024,0.0,1.042759336493418,0.36734954084131805,0.34,1.0
47,Mixed LLLHHH,500,HF,context4,72.001,test,6,nan,position_6,0,12,,nan.context4.position_6.,False,0.99,0.99,1.0,1.0,0.9928891726394588,1.0,0.45224065980474437,0.27955287094522707,speak.context4.position_6.,False,True,0.1906929981091161,0.0,1.0766590558768028,0.3295297392042912,0.6,1.0
48,Pure HF,10000,HF,context1,82.001,study,1,day,position_1,1,1,,day.context1.position_1.,False,0.4,1.0,1.0,1.0,0.99,1.0,0.0,0.0,day.context1.position_1.,True,True,1.1070776699189926,0.7344920078415011,3.6137890624999995,0.07195740569505976,,
49,Pure HF,1000,HF,context1,83.001,study,2,week,position_2,1,2,,week.context1.position_2.,False,0.39999999999123664,1.0,1.0,1.0,0.99,1.0,0.0,0.0,week.context1.position_2.,True,True,0.9532834813520453,0.6545273356771838,2.943891568362257,0.07195740569505976,,
50,Pure HF,1000,HF,context1,84.001,study,3,much,position_3,1,3,,much.context1.position_3.,False,0.4,1.0,1.0,1.0,0.99,1.0,0.0,0.0,much.context1.position_3.,True,True,0.8347971609733578,0.5855197949335321,2.427788262791462,0.07195740569505976,,
51,Pure HF,1000,HF,context1,85.001,study,4,chance,position_4,1,4,,chance.context1.position_4.,False,0.39999999999333025,1.0,1.0,1.0,0.99,1.0,0.0,0.0,chance.context1.position_4.,True,True,0.7435127747313599,0.5262190355426455,2.0301712775993543,0.07195740569505976,,
52,Pure HF,1000,HF,context1,86.001,study,5,wind,position_5,1,5,,wind.context1.position_5.,False,0.3994720124808095,1.0,1.0,1.0,0.99,1.0,0.0,0.0,wind.context1.position_5.,True,True,0.6737995989382801,0.47537642298207156,1.7238386786492446,0.07195740569505976,,
53,Pure HF,1000,HF,context1,87.001,study,6,once,position_6,1,6,,once.context1.position_6.,False,0.3999999999999998,1.0,1.0,1.0,0.99,1.0,0.0,0.0,once.context1.position_6.,True,True,0.6188625612084452,0.4322987556370064,1.4872192554922146,0.07195740569505976,,
54,Pure HF,500,HF,context1,87.501,test,1,nan,position_1,1,7,,nan.context1.position_1.,False,0.99,0.99,1.0,1.0,0.9954196620568273,1.0,1.2658514716620957,0.5243999846538374,day.context1.position_1.,False,True,0.19250820206208355,0.0,1.0869467821743943,0.9183583541065459,0.92,1.0
55,Pure HF,500,HF,context1,88.001,test,2,nan,position_2,1,8,,nan.context1.position_2.,False,0.99,0.99,1.0,1.0,0.9948997068926541,1.0,0.9731909597538138,0.4740897481009544,week.context1.position_2.,False,True,0.19712936043051718,0.0,1.1130286680029358,0.768506241123041,0.81,1.0
56,Pure HF,500,HF,context1,88.501,test,3,nan,position_3,1,9,,nan.context1.position_3.,False,0.99,0.99,1.0,1.0,0.9944523145039076,1.0,0.8099201743289561,0.4308005984583433,much.context1.position_3.,False,True,0.20093156942364035,0.0,1.1344893954630435,0.6426807726517431,0.69,1.0
57,Pure HF,500,HF,context1,89.001,test,4,nan,position_4,1,10,,nan.context1.position_4.,False,0.99,0.99,1.0,1.0,0.9940706286986898,1.0,0.6956741723132553,0.3938691388393364,chance.context1.position_4.,False,True,0.20405979405135816,0.0,1.1521479139300281,0.5429704220647875,0.56,1.0
58,Pure HF,500,HF,context1,89.501,test,5,nan,position_5,1,11,,nan.context1.position_5.,False,0.99,0.99,1.0,1.0,0.9937479601176338,1.0,0.6097571604730394,0.36262637281787063,wind.context1.position_5.,False,True,0.20663338657063415,0.0,1.166678207769295,0.46577703178579594,0.45,1.0
59,Pure HF,500,HF,context1,90.001,test,6,nan,position_6,1,12,,nan.context1.position_6.,False,0.99,0.99,1.0,1.0,0.9934811498919927,1.0,0.5449025450394591,0.3368318782236653,once.context1.position_6.,False,True,0.20875059322558723,0.0,1.1786349090892858,0.4081962371259993,0.67,1.0
60,Pure LF,10000,LF,context2,100.001,study,1,unkillable,position_1,1,1,,unkillable.context2.position_1.,False,0.20119640718921294,1.0,1.0,1.0,0.99,1.0,0.0,0.0,unkillable.context2.position_1.,True,True,1.4419144678053468,0.6836790621215575,3.6137890624999995,0.07195740569505976,,
61,Pure LF,1000,LF,context2,101.001,study,2,locater,position_2,1,2,,locater.context2.position_2.,False,0.2007984021312017,1.0,1.0,1.0,0.99,1.0,0.0,0.0,locater.context2.position_2.,True,True,1.1711767644132225,0.5562831784971687,2.6090547704759026,0.07195740569505976,,
62,Pure LF,1000,LF,context2,102.001,study,3,homos,position_3,1,3,,homos.context2.position_3.,False,0.21407983399484146,1.0,1.0,1.0,0.99,1.0,0.0,0.0,homos.context2.position_3.,True,True,0.9536302145687099,0.4453132341658321,1.8750581818439302,0.07195740569505976,,
63,Pure LF,1000,LF,context2,103.001,study,4,assesses,position_4,1,4,,assesses.context2.position_4.,False,0.2003996002665334,1.0,1.0,1.0,0.99,1.0,0.0,0.0,assesses.context2.position_4.,True,True,0.8338401402328361,0.3360613598150659,1.3586081430564705,0.07195740569505976,,
64,Pure LF,1000,LF,context2,104.001,study,5,redux,position_5,1,5,,redux.context2.position_5.,False,0.20119640718921294,1.0,1.0,1.0,0.99,1.0,0.0,0.0,redux.context2.position_5.,True,True,0.7256368992041456,0.22551588214032278,0.9619481786048844,0.07195740569505976,,
65,Pure LF,1000,LF,context2,105.001,study,6,decapitating,position_6,1,6,,decapitating.context2.position_6.,False,0.2003996002665334,1.0,1.0,1.0,0.99,1.0,0.0,0.0,decapitating.context2.position_6.,True,True,0.6486589928221552,0.07310461596724036,0.6734914551819887,0.07195740569505976,,
66,Pure LF,500,LF,context2,105.501,test,1,nan,position_1,1,7,,nan.context2.position_1.,False,0.99,0.99,1.0,1.0,0.9951828852744754,1.0,1.178278507719162,0.4881214306719337,unkillable.context2.position_1.,False,True,0.04311893854236273,0.0,0.2434225502504585,0.8842625952510106,0.83,1.0
67,Pure LF,500,LF,context2,106.001,test,2,nan,position_2,1,8,,nan.context2.position_2.,False,0.99,0.99,1.0,1.0,0.9942785833809065,1.0,0.8271155853505376,0.40292916367452225,locater.context2.position_2.,False,True,0.07419874527565788,0.0,0.4188936995987208,0.6570490436808447,0.65,1.0
68,Pure LF,500,LF,context2,106.501,test,3,nan,position_3,1,9,,nan.context2.position_3.,False,0.99,0.99,1.0,1.0,0.9934718474337538,1.0,0.6159794687855511,0.32764256552904164,homos.context2.position_3.,False,True,0.09977400522332155,0.0,0.5632850422136879,0.4713592096266041,0.48,1.0
69,Pure LF,500,LF,context2,107.001,test,4,nan,position_4,1,10,,nan.context2.position_4.,False,0.99,0.99,1.0,1.0,0.9926711786016738,1.0,0.44428116914228677,0.25153821782794367,assesses.context2.position_4.,False,True,0.12081969995224198,0.0,0.6821011248809914,0.32305715407338564,0.35,1.0
70,Pure LF,500,LF,context2,107.501,test,5,nan,position_5,1,11,,nan.context2.position_5.,False,0.99,0.99,1.0,1.0,0.9918265964131071,1.0,0.2892653427632062,0.17202789705128446,redux.context2.position_5.,False,True,0.13813805745749086,0.0,0.7798715128193745,0.20930121414949993,0.27,1.0
71,Pure LF,500,LF,context2,108.001,test,6,nan,position_6,1,12,,nan.context2.position_6.,False,0.99,0.99,1.0,1.0,0.9906048851867054,1.0,0.09214667119729161,0.0569605273713571,decapitating.context2.position_6.,False,True,0.15239102240348054,0.0,0.8603235432525087,0.10501111546620845,0.45,1.0
72,Mixed HHHLLL,10000,HF,context3,118.001,study,1,crap,position_1,1,1,,crap.context3.position_1.,False,0.39958508542920657,1.0,1.0,1.0,0.99,1.0,0.0,0.0,crap.context3.position_1.,True,True,1.1076975304508605,0.7344011894973801,3.6137890624999995,0.07195740569505976,,
73,Mixed HHHLLL,1000,HF,context3,119.001,study,2,medical,position_2,1,2,,medical.context3.position_2.,False,0.39913123501510506,1.0,1.0,1.0,0.99,1.0,0.0,0.0,medical.context3.position_2.,True,True,0.9543375250233488,0.6542520814750973,2.943271707830389,0.07195740569505976,,
74,Mixed HHHLLL,1000,HF,context3,120.001,study,3,stupid,position_3,1,3,,stupid.context3.position_3.,False,0.39999999804022845,1.0,1.0,1.0,0.99,1.0,0.0,0.0,stupid.context3.position_3.,True,True,0.8344128707605093,0.585282741693614,2.4261143585882903,0.07195740569505976,,
75,Mixed HHHLLL,1000,LF,context3,121.001,study,4,unemotional,position_4,1,4,,unemotional.context3.position_4.,False,0.20396026533864897,1.0,1.0,1.0,0.99,1.0,0.0,0.0,unemotional.context3.position_4.,True,True,1.0097082929960952,0.4683375082101918,2.028881663609031,0.07195740569505976,,
76,Mixed HHHLLL,1000,LF,context3,122.001,study,5,magnetic,position_5,1,5,,magnetic.context3.position_5.,False,0.26885319212131165,1.0,1.0,1.0,0.99,1.0,0.0,0.0,magnetic.context3.position_5.,True,True,0.7697224220221812,0.3844117464813077,1.456353546394186,0.07195740569505976,,
77,Mixed HHHLLL,1000,LF,context3,123.001,study,6,graders,position_6,1,6,,graders.context3.position_6.,False,0.21939408966622465,1.0,1.0,1.0,0.99,1.0,0.0,0.0,graders.context3.position_6.,True,True,0.7462242385154716,0.28506471181473814,1.1238113001532546,0.07195740569505976,,
78,Mixed HHHLLL,500,HF,context3,123.501,test,1,nan,position_1,1,7,,nan.context3.position_1.,False,0.99,0.99,1.0,1.0,0.9954192472242505,1.0,1.2656949518724556,0.5243351437328267,crap.context3.position_1.,False,True,0.10559167892365127,0.0,0.5961771495284081,0.91830503958667,0.92,1.0
79,Mixed HHHLLL,500,HF,context3,124.001,test,2,nan,position_2,1,8,,nan.context3.position_2.,False,0.99,0.99,1.0,1.0,0.994898129718761,1.0,0.9727816951035795,0.4738903749224516,medical.context3.position_2.,False,True,0.12560567967027567,0.0,0.7091755584953818,0.7682247992453386,0.81,1.0
80,Mixed HHHLLL,500,HF,context3,124.501,test,3,nan,position_3,1,9,,nan.context3.position_3.,False,0.99,0.99,1.0,1.0,0.994450511943161,1.0,0.809592270468043,0.43062618475191206,stupid.context3.position_3.,False,True,0.14207473389427022,0.0,0.8021599667157311,0.6424047264684755,0.68,1.0
81,Mixed HHHLLL,500,LF,context3,125.001,test,4,nan,position_4,1,10,,nan.context3.position_4.,False,0.99,0.99,1.0,1.0,0.9937204633463,1.0,0.619153406435396,0.3505454546217375,unemotional.context3.position_4.,False,True,0.15562835194403593,0.0,0.8786753207120859,0.4742088613167067,0.45,1.0
82,Mixed HHHLLL,500,LF,context3,125.501,test,5,nan,position_5,1,11,,nan.context3.position_5.,False,0.99,0.99,1.0,1.0,0.9930819097732165,1.0,0.49307833467324524,0.29323674998571975,magnetic.context3.position_5.,False,True,0.16678083353348874,0.0,0.9416370566586749,0.36351037591832186,0.34,1.0
83,Mixed HHHLLL,500,LF,context3,126.001,test,6,nan,position_6,1,12,,nan.context3.position_6.,False,0.99,0.99,1.0,1.0,0.9923516560060751,1.0,0.3593174510528101,0.22211232635717199,graders.context3.position_6.,False,True,0.17595822545104964,0.0,0.9934463110158112,0.2575793315210651,0.54,1.0
84,Mixed LLLHHH,10000,LF,context4,136.001,study,1,benchmark,position_1,1,1,,benchmark.context4.position_1.,False,0.20119640718921294,1.0,1.0,1.0,0.99,1.0,0.0,0.0,benchmark.context4.position_1.,True,True,1.4419144678053468,0.6836790621215575,3.6137890624999995,0.07195740569505976,,
85,Mixed LLLHHH,1000,LF,context4,137.001,study,2,creepy,position_2,1,2,,creepy.context4.position_2.,False,0.3343513283618413,1.0,1.0,1.0,0.99,1.0,0.0,0.0,creepy.context4.position_2.,True,True,0.966651171826389,0.5945314744259697,2.6090547704759026,0.07195740569505976,,
86,Mixed LLLHHH,1000,LF,context4,138.001,study,3,leaches,position_3,1,3,,leaches.context4.position_3.,False,0.20159361703258788,1.0,1.0,1.0,0.99,1.0,0.0,0.0,leaches.context4.position_3.,True,True,1.0269203483353246,0.4759701027300413,2.0795837744307635,0.07195740569505976,,
87,Mixed LLLHHH,1000,HF,context4,139.001,study,4,department,position_4,1,4,,department.context4.position_4.,False,0.3996623287984566,1.0,1.0,1.0,0.99,1.0,0.0,0.0,department.context4.position_4.,True,True,0.619844031211841,0.4327075034577281,1.489843601876689,0.07195740569505976,,
88,Mixed LLLHHH,1000,HF,context4,140.001,study,5,times,position_5,1,5,,times.context4.position_5.,False,0.3999999999443221,1.0,1.0,1.0,0.99,1.0,0.0,0.0,times.context4.position_5.,True,True,0.5775293267844378,0.39627103151081683,1.307179746446098,0.07195740569505976,,
89,Mixed LLLHHH,1000,HF,context4,141.001,study,6,quit,position_6,1,6,,quit.context4.position_6.,False,0.3999755636287962,1.0,1.0,1.0,0.99,1.0,0.0,0.0,quit.context4.position_6.,True,True,0.5453341921308842,0.36572463649344594,1.1668305954429101,0.07195740569505976,,
90,Mixed LLLHHH,500,LF,context4,141.501,test,1,nan,position_1,1,7,,nan.context4.position_1.,False,0.99,0.99,1.0,1.0,0.9951828852744754,1.0,1.178278507719162,0.4881214306719337,benchmark.context4.position_1.,False,True,0.14878980292980382,0.0,0.8400864912026509,0.8842625952510106,0.83,1.0
91,Mixed LLLHHH,500,LF,context4,142.001,test,2,nan,position_2,1,8,,nan.context4.position_2.,False,0.99,0.99,1.0,1.0,0.9944859787916475,1.0,0.8839854726645431,0.4306333159593389,creepy.context4.position_2.,False,True,0.1611544980029485,0.0,0.9098867761634721,0.7028823304526906,0.66,1.0
92,Mixed LLLHHH,500,LF,context4,142.501,test,3,nan,position_3,1,9,,nan.context4.position_3.,False,0.99,0.99,1.0,1.0,0.9937181816653813,1.0,0.6583855779329334,0.3501985874408531,leaches.context4.position_3.,False,True,0.17132977949497433,0.0,0.9673223660511487,0.5094959995276431,0.52,1.0
